Title
Dining table
Art Deco Side Table / Small Media Stand
CORNER HUTCH CABINET
Metal shelf
Full/Queen Low Profile Bed Frame with Storage
Metier Task Lamp - Awesome Table Lamp
Ikea Kitchen Cart
Excellent Signed Mies van der Rohe Knoll Leather Lounge Chairs Chair
Gorgeous Mid Century Pair of Marco Zanuso Mohair Leather Club Chairs
Quiet Aerobic Exercise Machine  -    Folds Up!  -   Great for Studio!
___ Futon Bed W\ MATTRESS _______
IKEA Queen Bed frame + queen mattress
Green and White Striped English Roll-arm Sofa (Originally 1200)
IKEA  HENRIKSDAL chair
Wrought Iron Corner Folding Plant Stand with 4 Shelves
Iron chairs
Room and Board Reclaimed Wood Stool
IKEA BEKANT Desk in Excellent Condition
Room and Board Silver Metal Table Lamp - Modern Lighting
Kitchen Bar Stools
White Farmhouse Furniture Bedroom Set Bed/Dresser/Mirror/NightStand
FLOS Glo-Ball Basic Zero Modern Table Lamps - Set of 2
ANTIQUE DRAGON!     French Bronze Candlestick!
Cafe tables
Safavieh Linen Club Chair Nail Head Detail
White Dresser
**************    ANTIQUE  SOFA  -   Upscale!   **********
Iron chairs
Pottery Barn Full Bed + nightstand
West Elm gray Sofa sectional couch
York Lounge Chair
WALL UNIT / TV ENTERTAINMENT CENTER * WOOD * GLASS * LIGHTS BEAUTIFUL
Purple vases
Reclining Nude with Child -   by  Francois Boucher
Unique vases (2)
Vintage Modern Desk - Mid Century
Desk - Vintage Modern - Mid Century
Mid Century Vintage Desk
Various vases sale
Oggetti Geo Console table
Extra Wide Recliner Lounge Chair
Wall art
Area Rug
"Queen size Bed, Sofa, Dresser, Dining Table and chairs"
Set of 4 Matching Office Chairs
Storage Console with wicker baskets
Ashley Sectional Sofa FOR SALE ($700 neg)
TV Console/Cabinet
Rustic Buffet Table (Originally 1500)
Chrome and light black shelving
Pottery Barn White Queen Size Bed & Mattress
Express glass and dark wood nesting table
Glass and chrome coffee& side table
Glass and chrome shelving
"Ikea Twin Mattress, excellent condition"
"Couch, Loveseat and Two Chairs for Sale"
Folding/roll-away bed
Mid Century Barringer and Muller Lotus Coffee table
Le Corbusier lounge
Queen Bed and Chest of Drawers
SAFAVIEH NAILHEAD GREY HEADBOARD - BRAND NEW
Red ottoman with storage
Pottery Barn Teen Bean Bag Chaise - Beige/Khaki
Artists Table
Stone L-shaped 8'x10' counter top and cabinets for sale
Jeremy Sofa
"Global Industries Assembled Steel Storage Cabinet 36"""
2 Drawer Lateral File Cabinets for sale
"Kitchen table, 3 stools, shoe rack and much more furniture"
Maddox Furn. 1940's Federal Inlaid Mahogany Secretary / Writers Desk
Ethan Allen Farmhouse Cherry Wood Coffee Table (Originally 1200)
4 Drawer Lateral File Cabinets for sale
Ikea Lixhult Colorful Cabinets
Hand Painted Country Corner Cabinet
"36"" storage cabinet"
Beautiful Green Marble Top Solid Wood Base Coffee Table
IKEA LILLÅSEN *Bamboo Desk* $100
Vintage Folding TV Tray Tables
Black Leather Sofa For sale:
Vintage Dresser/chest of drawers
HON Assembled Steel Storage Cabinet
Black Metal Goose Neck Desk Lamp With CFL Bulb
Brand New Ikea Besta Hutch
Metal office Desk
Compact Modern Computer Desk
"Ikea desk lamp, shelf unit"
"Mid Century Modern Dressers, Natural wood, For sale"
Flower Shaped Brass & Glass Lamp(Price Reduced $50)
"Q-bed, LR wall unit, tables."
PALI Dresser/Changing Table
"Mid Century Modern Dressers, Natural wood, For sale"
Office Chair For sale:
Metal office Desk
Metal office Desk
"Mid Century Modern Dressers, Natural wood, For sale"
Compact Modern Computer Desk
Office Chair For sale:
"Last century Antique cabinet, Natural wood, For sale"
Land of Nod Activity Table - Assembled!
Herman Miller style chairs
Pink side table
Steelcase Tubular Cantilever Side Chairs
MID-CENTURY MODERN CLUB CHAIRS
Used Drafting Table
Wood window shades
Entertainment center
bookshelves & entertainment center
Vintage Wooden Arm Chair w/ Retro Cushions
mid-century modern table & chairs - Eames Herman Miller
King Bedroom Set
"Queen Mattress, Box Spring, Frame"
Wooden Coffee Table for Sale
Rolling Cabinet For Sale
Restoration Hardware Flatiron Desk and 4 bistro chairs
___ Sectional w\Ottoman _______
2 West Elm Leather Dining Chairs
King Bed frame w/ 6 storage drawers
White Metal Twin Daybed Frame Ornate
Stone Sculpture (Originally 2000)
Vintage Mastercraft Foyer Table
