Title
Antique Mahogany Formal Dining Room Set - Solid Wood
"Vintage ""Harold Industrial"" adjustable Metal Doctor's Stool $125obo"
antique CAVALIER CEDARwood HOPE CHEST; Chatanooga Corporation Co
The classics collectible dolls by RUSS
"TIBETAN Thangka PAINTINGS! handpainted, beautiful collector's items"
Vintage Ceiling Light Shade
Vintage Ceiling Light Shade
Used Office furniture .office cubicles. File Cabinets Lateral Files Home Office
Vintage Rustic Mop Bucket
Historic  piece. Tavern on the Green  treasure
Vintage Wear-Ever Aluminum  Sieve Strainer with Stand
Antique Oak and Wicker Tea Cart - Stickley - 4 Wheels-2 Tier
Mid Century Modern Floor Lamp w/ 5 Spaghetti Shades
Mid Century Modern Chair w/Caned Back -Adrian  Pearsall?
"Pair Antique Floor Candlesticks - Wedding-Decorative -70"""
Set of 4 vintage Ball blue perfect mason jars that date to 1923-1933
Silver candle holders
Set of 4 vintage Ball blue perfect mason jars that date to 1923-1933
Lenox Appetizer Dish w 24k Gold Trim
Original Art Deco Mahogany Bedroom Set - Circa 1962
NY 1964 WF lic plate
Antique Oval Frame
Antique Handmade Lace Tablecloth
Zenith Stereophonic High Fidelity Vintage Console
"Original ""Color TV"" Motel Neon Sign"
Antique 1920's print lithograph C. Van Nortwick
"Vintage Singer Treadle Butcher Block Table 60"" length"
Antique French ladderback rush seat chair
new Office Furniture- Desks-Cubicles-Tables-Chairs
Antique framed print lithograph Niagara Falls
French antique poster
Antique 1920's wall mirror Eastlake style
Vintage porcelain gold espresso set Bavaria  Germany
antique ceramic round sink
old antique banker's green slag glass lamp
Antique 1920's Marion Wachtel 'Oaks of Santa Paula' framed lithograth
old carved wooden marble chess table
"unique free standing art deco 16""D mirror with shelf"
Very Old Hand Made Silver Tall Islamic Table with Enamel Details
Jeypore School of Art Signed Antique India Engraved Brass Vase Marked
Very Old Hand Made Silver Tall Islamic Table with Enamel Details
Antique Turkish Middle Eastern Tea Kettle Amazing Workmenship
Large Antique Bronze Plate Greek Mythology
Jeypore School of Art Signed Antique India Engraved Brass Vase Marked
Large Antique Bronze Plate Greek Mythology
Antique Turkish Middle Eastern Tea Kettle Amazing Workmenship
Art Nouveau Antique Punch Bowl with Eagle Footing Stand Details
Joseph Ebstein Bronze of Little Girl Signed Large
Jeypore School of Art Signed Antique India Engraved Brass Vase Marked
Large Antique Bronze Plate Greek Mythology
Joseph Ebstein Bronze of Little Girl Signed Large
2 Two Gorgeous Art Nouveau Sterling Silver Vases Marked Mauser Mfg Co.
Antique Fire Extinquisher
CORAL
WMF Art Nouveau Figural Silver Centerpiece Crystal Extra Large Amazing
judica signed alabaster old figure nathen the wise
Antique Governor Winthrop Mahogany Slant Top Secretary Desk
judica signed alabaster old figure nathen the wise
Tree Floor Lamp
Detecto Vintage Doctor's Scale
Large Antique Mahogony mirror
judaica Moses the Tablets of the Law Tabernacle Karlsba..
achery ring 100 plus years old
Antique Chinese or Japanese curio
"Asian art cabinet, small desk, curio, jewelry holder, or bar ANTIQUE"
80+ Pieces Dish Set
Gorgeous antique asian piece
Antique Cabinet
Cabinet small Asian themed Chinese or Japanese art
Yale Skull & Bones Table
Vivienne tam
*Vintage Antique Trunks ! - c. 1880's-1940's ! *
"furniture office new and used , office furniture ,files ,desk ,chairs"
*VINTAGE INDUSTRIAL STAINLESS STEEL CONTAINER - Mf'd by Protectoseal !
"* ----VINTAGE IRON AGRICULTURAL ""SUN"" FARM IMPLEMENT - C.1920'S ! --*"
** ANTIQUE 19th CENTURY CAST IRON LION DOOR STOP ! **
FALL FOLIAGE WEEKEND ANTIQUES SALE ! -This Sat/Sun !
ANTIQUE PAINTED YELLOW OVER MAHOGANY SIDEBOARD - C. 1940'S !
"Antique brass oil lamp converted to electric. Pretty details, colored"
* ANTIQUE ARTS & CRAFTS STYLE ENTRY DOOR - C. 1920'S ! *
* ANTIQUE CHARLIE CHAPLIN BROADSIDE / POSTER- C. 1950'S-60'S ! *
Antique Tool Company Box - Elkins' Tool Co. - c. 1920's !
Swedish Blanket Chest
* ANTIQUE VICTORIAN EASTLAKE PIER MIRROR - C. 1890'S ! *
Herman Miller Eames walnut 1970s time life stool
* ANTIQUE ROUGE MARBLE SINK WITH ART DECO MAHOG. BASE ! - C. 1920'S !*
